round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,epochs,losses,lstm_units,optimizer
100,0.014863310381770134,0.01155874039977789,0.0,0.0,32,0.1,100,binary_crossentropy,100,rmsprop
100,0.006199696566909552,0.005580029916018248,0.0,0.0,32,0.1,100,binary_crossentropy,100,Adam
100,0.006590655539184809,0.005118334200233221,0.0,0.0,32,0.1,100,binary_crossentropy,200,rmsprop
100,0.004201625008136034,0.003528458531945944,0.0,0.0,32,0.1,100,binary_crossentropy,200,Adam
100,0.0036698400508612394,0.002823809627443552,0.0,0.0,32,0.1,100,binary_crossentropy,300,rmsprop
100,0.00853149313479662,0.00751350075006485,0.0,0.0,32,0.1,100,binary_crossentropy,300,Adam
100,32.087677001953125,0.5639330148696899,0.0,0.0,32,0.1,100,categorical_crossentropy,100,rmsprop
100,30.595813751220703,0.5639330148696899,0.0,0.0,32,0.1,100,categorical_crossentropy,100,Adam
100,51.932861328125,0.5639329552650452,0.0,0.0,32,0.1,100,categorical_crossentropy,200,rmsprop
100,55.51219940185547,0.5639328956604004,0.0,0.0,32,0.1,100,categorical_crossentropy,200,Adam
100,72.56360626220703,0.5639330148696899,0.0,0.0,32,0.1,100,categorical_crossentropy,300,rmsprop
100,60.53140640258789,0.5639330148696899,0.0,0.0,32,0.1,100,categorical_crossentropy,300,Adam
100,0.23941795527935028,0.23941795527935028,0.0,0.0,32,0.1,100,mean_absolute_error,100,rmsprop
100,0.23941895365715027,0.23941895365715027,0.0,0.0,32,0.1,100,mean_absolute_error,100,Adam
100,0.23941798508167267,0.23941798508167267,0.0,0.0,32,0.1,100,mean_absolute_error,200,rmsprop
100,0.23941810429096222,0.23941810429096222,0.0,0.0,32,0.1,100,mean_absolute_error,200,Adam
100,0.23941801488399506,0.23941801488399506,0.0,0.0,32,0.1,100,mean_absolute_error,300,rmsprop
100,0.23941804468631744,0.23941804468631744,0.0,0.0,32,0.1,100,mean_absolute_error,300,Adam
100,0.017914580181241035,0.01445218175649643,0.0,0.0,32,0.2,100,binary_crossentropy,100,rmsprop
100,0.08449293673038483,0.049638036638498306,0.0,0.0,32,0.2,100,binary_crossentropy,100,Adam
100,0.005794732365757227,0.005018680356442928,0.0,0.0,32,0.2,100,binary_crossentropy,200,rmsprop
100,0.003841812489554286,0.003269253997132182,0.0,0.0,32,0.2,100,binary_crossentropy,200,Adam
100,0.006742206402122974,0.004930423106998205,0.0,0.0,32,0.2,100,binary_crossentropy,300,rmsprop
100,0.016891904175281525,0.014305366203188896,0.0,0.0,32,0.2,100,binary_crossentropy,300,Adam
100,31.735675811767578,0.5639329552650452,0.0,0.0,32,0.2,100,categorical_crossentropy,100,rmsprop
100,28.411422729492188,0.5639329552650452,0.0,0.0,32,0.2,100,categorical_crossentropy,100,Adam
100,54.94111251831055,0.5639329552650452,0.0,0.0,32,0.2,100,categorical_crossentropy,200,rmsprop
